name,origin_name_,sponsor_name_,sector_name_,period_name_,reference_period_name_,unit_of_enumeration_name_,organization_name_,administrative_data,legal_authority,observations,industry_name_,naics_coverage,documentation_url,short_description,long_description,limitations,fti,id,id_18
Information Returns Master File,Federal Government Agency,Statistics of Income (IRS),Households,Annually,Twelve (12) Months,Individual Person,Statistics of Income (IRS),y,"Title 13, Section 8...to the maximum extent possible, acquire and use data from other Federal agencies.
Title 26, Section 6103(j)(1)(A) ",,Combination (industries),,,,,,n,234,234
Census Matching and Review Coding System,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Irregular,Irregular,Household,Bureau of the Census,n,"Title 13, U.S.C.","~50,000,000",Non Applicable,,,"The Census MaRCS data comes from a software system that was developed for use in the 2010 Decennial via the Internet by staff in the National Processing Center, the Local Census Offices (LCOs) and Census HQ.","The Census MaRCS data comes from a software system that was developed for use in the 2010 Decennial via the Internet by staff in the National Processing Center, the Local Census Offices (LCOs) and Census HQ.  Census MaRCS provided computer support of the Census Nonresponse Followup (NRFU) reinterview operation and the Update/Enumerate (U/E) operation.  The software was developed under contract to the Gunnison Consulting Group and was managed by DSSD.",Access to this data is managed by the Center for Economic Studies under a review process specified in an Memorandum of Understanding between the Associate Director for Research and Methodology (ADRM) and the Associate Directors for the 2010 and 2020 Decennial Censuses.,n,225,225
Decennial Response File,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,decennially (every ten years),Specific Date,Household,Bureau of the Census,n,"Title 13, U.S.C.","~130,000,000",Non Applicable,,,The Decennial Response File (DRF) comes from DSCMO's 2010 Response Processing System.  The DRF contains all of the records collected during the 2010 operations and is the stage of processing where the household records are unduplicated.,The Decennial Response File (DRF) comes from DSCMO's 2010 Response Processing System.  The DRF contains all of the records collected during the 2010 operations and is the stage of processing where the household records are unduplicated.,Access to this data is managed by the Center for Economic Studies under a review process specified in an Memorandum of Understanding between the Associate Director for Research and Methodology (ADRM) and the Associate Directors for the 2010 and 2020 Decennial Censuses.  *** This file is NOT SWAPPED***,n,226,226
Census Unedited File,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,decennially (every ten years),Specific Date,Household,Bureau of the Census,n,"Title 13, U.S.C.","~130,000,000",Non Applicable,,,The Census Unedited File (CUF) combines the Decennial Response File (DRF) with data from the Universe Control and Master (UC&M) file that contains information on each household.,The Census Unedited File (CUF) combines the Decennial Response File (DRF) with data from the Universe Control and Master (UC&M) file that contains information on each household.,Access to this data is managed by the Center for Economic Studies under a review process specified in an Memorandum of Understanding between the Associate Director for Research and Methodology (ADRM) and the Associate Directors for the 2010 and 2020 Decennial Censuses.  ***This file is NOT SWAPPED***.,n,227,227
Census Edited File,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,decennially (every ten years),Specific Date,Household,Bureau of the Census,n,"Title 13, U.S.C.","~130,000,000",Non Applicable,,,The Census Edited File (CEF) is the edited version of the Census Unedited File (CUF).,The Census Edited File (CEF) is the edited version of the Census Unedited File (CUF).,Access to this data is managed by the Center for Economic Studies under a review process specified in an Memorandum of Understanding between the Associate Director for Research and Methodology (ADRM) and the Associate Directors for the 2010 and 2020 Decennial Censuses.  ***This data is NOT SWAPPED***.,n,228,228
Medicare Enrollment Database,Federal Government Agency,Centers for Medicare and Medicaid Services (CMS),Government,Annually,Calendar Year,Combination (household units),Other,y,"Title 13, U.S.C., Section 6, provides the Census Bureau's authority to request these data.  These data will be used to conduct work authorized by Title 13, U.S.C., Sections 141, 181, and 182.  The Privacy Act of 1974, Title 5, U.S.C., Section 552a(b)(4), ",File universe: National level,Health Care and Social Assistance,,,"Medicare is a federal health insurance program available to persons over the age of 65, or persons with certain disabilities, end-stage renal disease, and permanent kidney failure requiring dialysis or a kidney transplant.

File universe: National level",,,n,235,235
MAF-ARF,Census Bureau constructed data,Bureau of the Census,Households,Annually,Twelve (12) Months,Individual Person,Bureau of the Census,y,Title 13,343 Million,Other Services,,http://cww.census.gov/demo/did/,"The MAF-ARF is an annual summary file containing all combinations of Protected Identification Keys (PIK) and MAFID that are seen in a single year’s worth of input Federal administrative data from the following sources:  IRS 1040, IRS Information Returns, HUD PIC, HUD TRACS, Indian Health Service, Selective Service, and Medicare Enrollment Database (MEDB). These files contain records that associate individuals with addresses that are usually a current or former residence.  The MAF-ARF does not indicate which federal data source provided the MAFID.",,"Multiple MAFIDs may be listed for each PIK.  Not all MAFIDs may reflect a current or former residence (e.g. tax dependents may not live at primary filer\'s MAFID in IRS 1040, an elderly parent may use their child\'s address in MEDB).",n,236,236
2010 Census Unedited File - PIK Crosswalk,Census Bureau constructed data,Bureau of the Census,Households,decennially (every ten years),Specific Date,Individual Person,Bureau of the Census,n,Title 13,309 Million,Other Services,,http://cww.census.gov/demo/did/,"The CUF-PIK Crosswalk contains the unique person identifiers (state, MAFID and person number) from the 2010 Census Unedited File and Protected identification Keys (PIK) used for record linkage.  The crosswalk file is used to link the CUF with administrative records. ",,Ten percent of the CUF records did not receive a PIK.  See Census Match Study CPEX (Dec 2012) for more information.,n,237,237
Individual Master File/Individual Returns Transaction File (IMF/IRTF) ,Federal Government Agency,Statistics of Income (IRS),Households,Annually,Calendar Year,Combination (household units),Statistics of Income (IRS),y,Title 26 and Title 13,,Non Applicable,,,"The Internal Revenue Service (IRS) has furnished the U. S. Census Bureau (Census) with an annual extract from the Individual Master File and Returns Transaction File containing the following data items from Forms 1040, 1040A, 1040EZ, 1040PC, 1040SS, 1040PR, 1040NR, 1040TEL, 1040C, and Form 8814 return records.",,,n,238,238
Public and Indian Housing Information Center,Federal Government Agency,Department of Housing and Urban Development (HUD),Other,Annually,Calendar Year,Combination (household units),Bureau of the Census,y,,,Non Applicable,,,,,,n,239,239
Tenant Rental Assistance Cerification System,Federal Government Agency,Department of Housing and Urban Development (HUD),Other,Annually,Calendar Year,Combination (household units),Bureau of the Census,y,,,Non Applicable,,,,,,n,240,240
Medicaid Statistical Information System,Federal Government Agency,Centers for Medicare and Medicaid Services (CMS),Households,Quarterly,Calendar Quarter,Individual Person,Centers for Medicare and Medicaid Services (CMS),y,See DUA,See URL,Health Care and Social Assistance,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Computer-Data-and-Systems/MSIS/index.html?redirect=/MSIS/,,,,n,241,241
Medicaid Analytic Extract,Federal Government Agency,Centers for Medicare and Medicaid Services (CMS),Households,Annually,Calendar Year,Individual Person,Centers for Medicare and Medicaid Services (CMS),y,See DUA,See Data Dictionaries under Downloads at URL above,Health Care and Social Assistance,,https://www.cms.gov/Research-Statistics-Data-and-Systems/Computer-Data-and-Systems/MedicaidDataSourcesGenInfo/MAXGeneralInformation.html,,,,n,242,242
National Immunization Survey Evaluation Study,Census Bureau Survey - sponsorship,National Center for Immunization and Respiratory Diseases,Households,Annually,Calendar Year,Individual Person,Bureau of the Census,n,Title 13,1320 households,Non Applicable,,http://www.cdc.gov/nchs/nis.htm,"The Census Bureau has an agreement with CDC\'s National Center for Immunization and Respiratory Diseases (NCIRD) to prepare an edited data file through March 2013. The interagency agreement to edit the data will end March 2013. The National Immunization Survey-Evaluation Study edited data file and data from the ACS for the households selected for the NIS-ES. The total sample size was 1,320 households.","The Census Bureau has an agreement with CDC\'s National Center for Immunization and Respiratory Diseases (NCIRD) to prepare an edited data file through March 2013. The interagency agreement to edit the data will end March 2013. The National Immunization Survey-Evaluation Study edited data file and data from the ACS for the households selected for the NIS-ES. The total sample size was 1,320 households. The Census Bureau collected the data for this study in 2009 and 2010. The ACS is the sampling frame for the study and the data are protected under Title 13, Section 9. ","The National Immunization Survey (NIS), sponsored by the Centers for Disease Control
and Prevention, is currently a random-digit-dial telephone survey that monitors child
immunization levels. Parents in the eligible households complete an interview, and
provide their child’s immunization history and permission to contact the child’s medical provider to verify the child’s immunization records. These data are from the U.S. Census Bureau\\\\\\\\\\\\\\\'s Evaluation Study to test the possibility of conducting the NIS using the American Community Survey as the sampling frame. Because this Evaluation Study will use a Census Bureau sampling frame, it must be conducted under the Census Bureau’s Title 13 requirements. Providers must receive Special Sworn Status before they can provide the child’s detailed immunization history.",n,244,244
"Supplemental Nutrition Assistance Program, New York",State or Local Government Agency,Other,Government,Annually,Calendar Year,Individual Person,Other,y,"Title 13,
Food and Nutrition Act, 7 U.S.C., Section 2020(e)(i)(A)(i)",unknown,Non Applicable,n/a,,,,These data are only authorized for use on ARTS project 707.,n,245,245
ACS PIK Crosswalks,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Annually,Calendar Year,Household,Bureau of the Census,n,,,Other (industries),,,The American Community Survey (ACS) Protected Identification Key (PIK) Crosswalks are used to link ACS microdata files to other microdata files with a PIK variable.,"The American Community Survey (ACS) Protected Identification Key (PIK) Crosswalks are used to link ACS microdata files to other microdata files with a PIK variable.

The ACS is part of the Decennial Census Program. This survey is sent to a random sample of households in the United States and Puerto Rico on a rotating basis. The ACS collects information from U.S. households similar to what was collected on the decennial census \""long form,\"" such as age, race, sex, Hispanic origin, income and benefits, health insurance, education, veteran status, disabilities, place of work and commuting, and housing costs. These data previously were collected only in census years in conjunction with the decennial census. Since the ACS is conducted every year, rather than once every ten years, it provides more current data throughout the decade.",,n,248,248
CPS PIK Crosswalks,Census Bureau Survey - sponsorship,Bureau of Labor Statistics (BLS),Households,Annually,Calendar Year,Household,Bureau of Labor Statistics (BLS),n,,,Other (industries),,,The Current Population Survey (CPS) Protected Identification Key (PIK) Crosswalks are used to link CPS March Supplement microdata files to other microdata files with a PIK variable.,"The Current Population Survey (CPS) Protected Identification Key (PIK) Crosswalks are used to link CPS March Supplement microdata files to other microdata files with a PIK variable.

The CPS March Supplement collects data concerning work experience, several sources of income, migration, household composition, health insurance coverage, and receipt of noncash benefits.

",,n,249,249
SIPP PIK Crosswalks,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Irregular,Irregular,Household,Bureau of the Census,n,,"The survey design is a continuous series of national panels, with sample size ranging from approximately 14,000 to 36,700 interviewed households. The duration of each panel ranges from 2 years to 4 years.
",Other (industries),,,The Survey of Income and Program Participation (SIPP) Protected Identification Key (PIK) Crosswalks are used to link SIPP microdata files to other microdata files with a PIK variable. The SIPP PIK Crosswalks can also be used to link internal SIPP microdata with public use SIPP microdata.,"The Survey of Income and Program Participation (SIPP) Protected Identification Key (PIK) Crosswalks are used to link SIPP microdata files to other microdata files with a PIK variable. The SIPP PIK Crosswalks can also be used to link internal SIPP microdata with public use SIPP microdata.

The SIPP collects information on source and amount of income, labor force information, program participation and eligibility data, and general demographic characteristics to measure the effectiveness of existing federal, state, and local programs; to estimate future costs and coverage for government programs, such as food stamps; and to provide improved statistics on the distribution of income in the country.",,n,250,250
National Survey of College Graduates,Census Bureau Survey - sponsorship,National Science Foundation (NSF),Households,Irregular,Calendar Year,Individual Person,Other,n,Title 13,"40,000",Non Applicable,, http://www.nsf.gov/statistics/srvygrads/,"The NSCG is a longitudinal survey, designed to provide data on the number and characteristics of experienced individuals with a bachelor\'s or higher degree, with a special focus on individuals with education and/or employment in
science or engineering (S&E) living in the United States. The results of this survey are vital for educational planners within the Federal Government and in academia. The results are also used by employers in all sectors (education,
industry, and the government) to understand trends in employment opportunities and salaries in S&E fields and to evaluate the effectiveness of equal opportunity efforts. The National Center of Science and Engineering Statistics
(NCSES) at the National Science Foundation (NSF) combines this information with similar survey data from the Survey of Doctorate Recipients. The integrated data serve as the basis for the Scientists and Engineers Statistical Data System
(SEST AT) as mandated by the Congress.","The prototype survey to the NSCG was the National Survey of Natural and Social Scientists and Engineers, which we conducted for the NSF in the 1970s and the 1980s. The 1993 NSCG was the baseline survey for the decade of the 1990s. Approximately 214,000 people were selected for the 1993 NSCG from those cases that had completed the 1990 decennial census long form and indicated that they had received at least a bachelor\'s degree in addition to other sampling criteria. Follow-up surveys were conducted every two years and included only individuals identified in the 1993 survey as having an S&E degree and/or an S&E occupation who responded in the prior survey year and who met other eligibility criteria (e.g., age criteria). During the follow-up years, a small sample of NSRCG respondents was also July 15th, surveyed as part of the NSCG. The 1999 NSCG was the last interview panel for the 1990s. The 2003 NSCG is the baseline survey for the decade of the 2000s. Approximately 177,320 people were initially
selected for the 2003 NSCG new cohort sample from those cases that had completed the 2000 decennial census long form and indicated that they had received at least a bachelor\'s degree in addition to other sampling criteria. The final 2003 NSCG new cohort sample size was 170,797 cases after some adjustments were made to the sampling frame. An additional 40,073 cases were selected for the 2003 NSCG old cohort sample from respondents to the 1999 NSCG
(originally from either the 1993 NSCG or the 1993-1997 NSRCG), the 1999 NSRCG, or the 2001 NSRCG. Follow-up surveys are conducted every two or three years and include only individuals identified in the 2003 NSCG new cohort survey as having an S&E degree and/or an S&E occupation who responded in the prior survey year and who met other eligibility criteria (e.g., age criteria). During the follow-up years, a small sample of respondents to the 2001 and later NSRCGs was also surveyed as part of the NSCG. The survey sample size for the 2008 NSCG was the same as for the 2006 NSCG (68,000 cases). In 2010, the Census discontinued the use of the long form, so the American Community Survey (ACS) was used as a
sampling frame for the 2010 NSCG and 2013 NSCG. Additionally, the surveys now include individuals identified as having received at least a bachelor\'s degree in any field.
",Subsample of the ACS,n,251,251
SIPP Master Earnings File (MEF) Extracts,Census Bureau Survey - sponsorship,Social Security Administration (SSA),Households,Other,Mixed,Household,Social Security Administration (SSA),y,"The U.S. Census Bureau sponsors the survey under the authority of Title 13, United States Code, Section 182. The Social Security Administration authorization is Title 42, USC, Section 1306","The survey 
design is a continuous series of national panels, with sample size 
ranging from approximately 14,000 to 36,700 interviewed households. The 
duration of each panel ranges from 2 years to 4 years. The SIPP sample
 is a multistage-stratified",Other (industries),N.A.,,"The CES Data Warehouse contains two extracts from the Social Security Administration\'s Master Earnings File (MEF): The Summary Earnings Record (SER) and the Detailed Earnings Record (DER). The extracts contain Protected Identification Keys (PIK) that link these records to the internal Survey of Income and Program Participation (SIPP) panel data.
","The CES Data Warehouse contains two extracts from the Social Security Administration\'s Master Earnings File (MEF): The Summary Earnings Record (SER) and the Detailed Earnings Record (DER). The extracts contain Protected Identification Keys (PIK) that link these records to the internal Survey of Income and Program Participation (SIPP) panel data.

The Master Earnings File (MEF)
The Social Security Administration (SSA) receives reports of earnings for the U.S. working population each year. Earnings data are used to administer the Social Security programs and to conduct research on the populations served by those programs. The administrative needs of SSA and other agencies have changed over time and, as a result, there have been numerous changes to the main source of SSA\'s earnings data, which is known as the Master Earnings File (MEF). By documenting the history, content, limitations, complexities, and uses of the MEF (and data files derived from the MEF), this article serves as a resource for researchers who use earnings data to study work patterns and their implications. It is also a resource for policymakers and administrators who must understand the data used in administering current-law programs and the data available to inform potential changes to those programs.

Summary Earnings Record (SER)
ser_sipp_ext_1984-2008.sas7bdat
A SER record summarizes all earnings information found in the MEF for each year from 1951- present. All amounts reported on W-2s for jobs subject to FICA tax are added together, by year, and then capped at the FICA taxable maximum. Thus, the SER would contain the same value for total FICA earnings if a worker earned $30,000 from a single job in one year, or $30,000 from three separate $10,000 jobs in one year. Any amount earned beyond the FICA taxable maximum is not recorded.

Detailed Earnings Record (DER)
der_sipp_ext_1984-2008.sas7bdat
The DER contains individual entries for every W-2 form reported for a worker. In the above example, the DER would contain three separate entries for each $10,000 job. The DER is a person-year-EIN file where the EIN is the employer\'s tax identifier. The DER reports earnings from Box 1 of the W-2, or those earnings subject to income tax, and separately, deferred wages contributed to a tax-exempt retirement account. DER earnings are uncapped but are missing some amounts such as earnings deducted to pay health insurance premiums.
","(1) For most years, SIPP includes between 9 and 12 separate waves of interviews. Due to budget constraints, the 1989 SIPP Panel was stopped at 3 waves. 
(2) Up to 1996, the SIPP was conducted ever year. After that, it was done intermittently.",n,252,252
Quarterly Financial Report Census Years,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Quarterly,Calendar Year,Enterprise (firm),Bureau of the Census,y,"Title 13, Chapters 3 and 5.  Title 26, 6103 (j).",,Combination (industries),All,http://www.census.gov/csd/qfr,"The data presented provides up-to-date aggregate statistics on the financial position of U.S. corporations.  Based upon a sample survey, the QFR presents estimated statements of income and retained earnings, balance sheets, and related financial and operating ratios for manufacturing corporations with assets of $250,000 and over; and mining, wholesale trade and retail trade corporations with assets of $50 million and over.  

The Internal Revenue Service restricts use of the QFR to economic census years only when they are to be linked to internal Title 13 data such as economic censuses or surveys.",,"These data are collected under Title 13, Chapter 3 and can be linked to Title 13, Chapter 5 data only for economic census years ending in 2 and 7 as restricted by the Internal Revenue Service.  Linkages are authorized through economic census year 2012",y,253,253
American Community Survey-Master Address File Crosswalk,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Annually,Calendar Year,Housing Unit,Bureau of the Census,n,,1940458-2151152,Non Applicable,,http://www.census.gov/geo/reference/gtc/gtc_maftiger.html,The ACS_MAF_XWK file links the household identification code (CMID) used in the American Community Survey (ACS) with the identification code (MAFID) used in the Master Address File Extract (MAFX). ,"The ACS_MAF_XWK file links the household identification code (CMID) used in the American Community Survey (ACS) with the identification code (MAFID) used in the Master Address File Extract (MAFX). Using this file allows researchers to obtain detailed geographic information for each housing unit in the ACS. The MAFX is a Census Bureau file that contains an accurate, up to date inventory of all known living quarters in the United States, Puerto Rico and associated island areas. The MAFX is used to support most of the census and surveys that the Census Bureau conducts including the decennial census, the American Community Survey and ongoing demographic surveys. The content of the MAFX includes address information, Census geographic location codes, as well as source and history data.

",,n,255,255
Employment History Files - 2011,Census Bureau constructed data,Bureau of the Census,Multiple,Quarterly,Three (3) Months,Other (any unit),Bureau of the Census,y,MOU between Census Bureau and individual state agencies.  Protected under Title 13,8 billion records in 8 files per state. Record counts per state vary.,Combination (industries),All except for agricultural workers,http://www.census.gov/ces/dataproducts/lehddata.html,"The Employment History File (EHF) provides a full time-series of earnings at all
within-state jobs for all quarters covered by the LEHD system and provided by the state. It also provides activity calendars at a job, firm, and sub-firm reporting unit level.  The EHF contains no Federal Tax Information (FTI).","The Employment History Files (EHF) are designed to store the complete in-state
work history for each individual that appears in the UI wage records. The EHF for each state contains one record for each employee-employer combination–a job–in that state in each year. Both annual and quarterly earnings variables are available in the EHF. Individuals who are employed, but never have strictly positive earnings at their employing SEIN (a theoretical possibility) in a given year do not have a record in the EHF for that year. To facilitate analysis, the EHF data are restructured into another file containing one observation per job (PIK-SEIN combination), with all quarterly earnings and activity information available on that record. The restructured file is called the Person History File (PHF). It should be noted that the actual file
structure is at the PIK-SEIN-SEINUNIT-YEAR level for the EHF, and at the PIK-SEIN-SEINUNIT level for the PHF. Although only one state (Minnesota) has non-zero values for SEINUNIT, this allows the file structure to be homogeneous across states. An active job within a quarter, the primary job-level economic
activity measure, is defined as having strictly positive quarterly earnings for the individual-employer pair that define the job.  A time-series similar to the aggregated job data, but based on observed activity (positive employment)
in the ES-202 records, is availabe and computed at the SEINUNIT level (Unit History File, UHF) and the SEIN level (SEIN History File, SHF).","No edits have been applied to these data. Under-reporting, data loss, etc. may affect diverse states and quarters. The data documentation has an up-to-date list of such data issues. The LEHD Program suggests users use Bayesian multiple imputation models to address such issues.
",n,264,264
Employer Characteristics File - 2011,Multiple or Other,Bureau of the Census,Business,Quarterly,Three (3) Months,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",1.3 billion records in 200 files across all states. Counts per state vary. ,Combination (industries),All except for agricultural workers,http://www.census.gov/ces/dataproducts/lehddata.html,"The Employer Characteristics File (ECF) consolidates most firm level information (size, location, industry, etc.) into two easily accessible files. The firm or SEIN level file contains one record for every YEAR QUARTER a firm is present on either the ES-202 or the UI, with more detailed information
available for the establishments of multi-unit firms in the SEIN SEINUNIT file. The SEIN file is built up from the SEINUNIT file and contains no additional information, but should be viewed merely as an easier and/or more efficient way to access firm level data.","The primary data source for the Employer Characteristics File (ECF) are the ES-
202 files. The ES-202 files contain information at both the firm and establishment level and the ECF continues this structure, but the ”master” records are removed and the firm level information is appended to the establishment data. The next major source of data comes from the UI/EHF. Person level job information is aggregated to the firm level and is merged with the ES-202 information. The union of these two data sources determines the set of records on the ECF. The ES-202 data contains among other variables, information on establishment location, Federal EIN, and industry. Any missing establishment characteristics are filled with information from the closest quarter, the firm level mode, and eventually imputed, if no firm specific information is available. The UI/EHF and the ES-202 both contribute information on payroll and
employment. Various algorithms are used to combine this information in the most sensible way possible. Finally, the address information available on the ES-202 is processed through an address standardization and Geographic Information System (GIS) processing system to create the Geocoded Address List (GAL). The resulting establishment level geocode information from the GAL is then merged back onto the ECF.","The quality of the ECF depends primarily on the quality of the incoming UI and ES-202 data as received from the state. The quality of the data is generally high for 2000 and beyond, but earlier years’ historical data files may be incomplete. Although the data undergoes various quality control checks and
imputations of missing values once received at LEHD, in some cases this is only a partial solution. States, also vary in the quality of the establishment level data reported for multi-unit firms. The lack of consistent reporting of establishment level information can greatly affect the geographic dispersion of employment and payroll. In both 1992 and 1997 efforts were made to expand the collection of establishment level data. Expansions in the number of establishments in those years are likely not related to new economic activity,
but reflect improved collection activities. Many states have only partial coverage of sectors such as agriculture, state government, and local municipalities. Federal government workers are also not typically covered. Due to limitations in the historical data, some years and quarters may not have complete coverage on both the EHF and ES-202 and this will be reflected in the ECF as well.",y,265,265
Current Population Survey Food Security Supplement,Multiple or Other,Economic Research Service (ERS),Households,Annually,Twelve (12) Months,Household,Economic Research Service (ERS),n,"The U.S. Census Bureau and the BLS jointly sponsor the CPS under the authorities of Title 13, United States Code, Section 182, and Title 29, United States Code, Sections 1-9.","The total sample size is approximately 70,000 households containing a total of 130,000 persons.",Non Applicable,,http://www.ers.usda.gov/data-products/food-security-in-the-united-states.aspx,"The Current Population Survey is a monthly labor force survey of about 70,000 households conducted by the Census Bureau for the Bureau of Labor Statistics. Once each year, after answering the labor force questions, the same households are asked a series of questions (the Food Security Supplement) about food security, food expenditures, and use of food and nutrition assistance programs. Food security data have been collected by the CPS each year since 1995.","The Current Population Survey is a monthly labor force survey of about 70,000 households conducted by the Census Bureau for the Bureau of Labor Statistics. Once each year, after answering the labor force questions, the same households are asked a series of questions (the Food Security Supplement) about food security, food expenditures, and use of food and nutrition assistance programs. Food security data have been collected by the CPS each year since 1995.

The CPS Food Security Supplement is the source of national and State-level statistics on food insecurity used in USDA\'s annual reports on household food security. ",Requires notification to USDA ERS,n,266,266
Geocoded Address List - 2011,Census Bureau constructed data,Bureau of the Census,Multiple,Irregular,Other,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",Varies by state,Combination (industries),All except for agricultural workers,http://lehd.did.census.gov/led/library/tech_user_guides.html,"The Geocoded Address List (GAL) is a dataset containing unique commercial and residential  addresses in a state geocoded to the Census Block and to latitude/longitude coordinates.  It consists of the address list (GAL) and a crosswalk for each processed file-year.  The GAL contains each unique address, identified by a GAL identifier called \""galid,\"" its geocodes, a flag for each file-year in which it appears, data quality indicators, and data processing information, including the release date of the Geographic Reference File (GAF).  The GAL Crosswalk contains the ID of each input entity and the ID of its address (galid).",,Not all data is available nationally.,n,267,267
Quarterly Workforce Indicators - 2011,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Three (3) Months,Establishment,Bureau of the Census,n,"Title 13, U.S.C.","1.9 billion records in 4 files per state, across 49 states + DC. Record counts per state vary.",Combination (industries),All except for agricultural workers,,"Contains quarterly measures of workforce composition and worker turnover at the establishment level for selected states for 1990-2003 (exact years vary by state).  The LEHD employer-level measures are created from longitudinally integrated person and establishment-level data.  Employer-level measures include:  (i) Worker and Job Flows:  accessions, separations, job creation, job destruction by age and gender of workforce; (ii) Worker composition by gender and age, (iii) Worker compensation for stocks and flows by gender and age; (iv) Dynamic worker compensation summary statistics for stocks and flows by gender and age.  The LEHD-QWI may be used in combination with the LEHD Business Register Bridge (LEHD-BRB) to match to other Census micro business databases.",,(i)  These are large files that require additional computer resources on the RDC thin client network.  (ii) Approved projects must use data pooled across multiple states and specific state effects (or more disaggregated geographic effects) can be controlled for but not reported in published results.,n,277,277
Individual Characteristics Files - 2011,Federal Government Agency,Bureau of the Census,Other,Irregular,Irregular,Individual Person,Other,y,"Title 13, U.S.C.",262 million observations (workers),Other (industries),All except for agricultural workers,http://lehd.did.census.gov/led/library/tech_user_guides.html,"The Individual Characteristics File (ICF) was a state specific file in previous snapshots, but is now a national level file.  It contains both Census and SSA sourced data.",,,n,276,276
Quarterly Workforce Indicators (QWI) Public Use Files - 2011,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Three (3) Months,Combination (any units),Bureau of the Census,n,Public Use,,Combination (industries),All except for agricultural workers,http://lehd.ces.census.gov/data/,"Contains quarterly measures of workforce composition and worker turnover at the publication-cell level (geography by industry by firm characteristics by worker characteristics).  The LEHD measures are created from longitudinally integrated person and establishment-level data.  Measures include:  (i) Worker and Job Flows:  accessions, separations, job creation, job destruction by age and gender of workforce; (ii) Worker composition by gender and age, (iii) Worker compensation for stocks and flows by gender and age; (iv) Dynamic worker compensation summary statistics for stocks and flows by gender and age. ",,"These are public-use files, but their use in the RDC is incompatible with the use of any other LEHD data.",n,282,282
Unit-to-Worker - 2011,Census Bureau constructed data,Bureau of the Census,Business,Irregular,Three (3) Months,Other (any unit),Bureau of the Census,n,"Title 13, U.S.C.
","625 million records across 49 states + DC (one file per state). Record counts per state vary.
",Combination (industries),"All except for agricultural workers
",,"The unit-to-worker file contains contains ten (10) imputed establishments for each worker of a multi-unit employer.
",,,n,283,283
Successor-Predecessor Files - 2011,Census Bureau constructed data,Bureau of the Census,Multiple,Quarterly,Three (3) Months,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C.",15 million records in 2 files per state. Record counts vary by state.,Combination (industries),All except for agricultural workers,,"The Successor-Predecessor File (SPF) is a suite of files providing intertemporal flow-based links based on wage records and administrative links. The file is not fully documented, researchers are advised to use the file with caution.",,Not all data is available nationally.,n,295,295
 Employer Characteristics File (ECF) T26 Components - 2011,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Three (3) Months,Establishment,Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.","633 million records in 51 files covering 49 states + DC. Counts per state vary. Most states have 1 file, California has multiple files.",Combination (industries),All except for agricultural workers,,"The Employer Characteristics File (ECF) consolidates most firm level information (size, location, industry, etc.) into two easily accessible files. The firm or SEIN level file contains one record for every YEAR QUARTER a firm is present on either the ES-202 or the UI, with more detailed information
available for the establishments of multi-unit firms in the SEIN SEINUNIT file. The SEIN file is built up from the SEINUNIT file and contains no additional information, but should be viewed merely as an easier and/or more efficient way to access firm level data.",,,n,303,303
Individual Characteristics Files (ICF) T26 Components - 2011,Federal Government Agency,Bureau of the Census,Other,Irregular,Irregular,"Combination of Establishments, Companies and/or Enterprises",Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",262 million observations (workers),Other (industries),All except for agricultural workers,,The National Individual Characteristics File (ICF) contains one record for every person who has ever been covered by any participating state\'s unemployment insurance system in the time period covered by this release of the LEHD Snapshot. The T26 component contains a history of residential addresses for those individuals. These files are useless unless also requesting the ICF.,,,n,305,305
Employer Characteristics File (ECF) Census Confidential Components - 2011,Census Bureau constructed data,Bureau of the Census,Business,Quarterly,Three (3) Months,Establishment,Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",,Combination (industries),All except for agricultural workers,,"The Employer Characteristics File (ECF) consolidates most firm level information (size, location, industry, etc.) into two easily accessible files. The firm or SEIN level file contains one record for every YEAR QUARTER a firm is present on either the ES-202 or the UI, with more detailed information
available for the establishments of multi-unit firms in the SEIN SEINUNIT file. The SEIN file is built up from the SEINUNIT file and contains no additional information, but should be viewed merely as an easier and/or more efficient way to access firm level data.",,,n,307,307
